Season,Rank,Team,Points Per Game,Opponent Points Per Game,Point Differential,Own FG%,Opponent FG%,Own 3p%,Opponent 3p%,FT%,Offensive Rebounds,Defensive Rebounds,Rebounding %,Own Turnovers,Opponent Turnovers
2002,,Phoenix,107.6,113.0,-5.4,.443,.453,.303,.354,.765,.234,.793,.508,15.6,15.3
2002,,Chicago,106.2,101.4,+4.8,.451,.460,.357,.374,.813,.306,.774,.539,13.4,12.9
2002,,Charlotte,105.9,98.8,+7.1,.437,.430,.346,.311,.769,.196,.811,.502,10.9,13.4
2002,,Minnesota,105.9,104.0,+1.9,.458,.469,.414,.337,.743,.294,.765,.521,13.9,15.4
2002,,LA,105.7,90.4,+15.3,.446,.400,.346,.342,.726,.216,.791,.507,11.0,16.3
2002,,Denver,105.1,108.0,-2.9,.429,.465,.352,.330,.774,.267,.805,.543,17.8,12.8
2002,,Brooklyn,104.4,108.0,-3.6,.442,.453,.317,.358,.806,.215,.760,.489,17.1,15.5
2002,,Toronto,103.8,98.3,+5.5,.459,.431,.287,.346,.805,.253,.748,.501,10.8,13.8
2002,,Milwaukee,103.6,102.8,+0.8,.455,.431,.325,.323,.812,.251,.757,.512,15.5,14.5
2002,,Oklahoma City,103.2,100.8,+2.4,.436,.435,.356,.311,.736,.262,.772,.526,16.8,14.6
2002,,New Orleans,101.6,107.7,-6.1,.434,.448,.286,.350,.756,.175,.780,.467,12.7,14.3
2002,,San Antonio,101.4,96.3,+5.1,.438,.445,.396,.322,.863,.229,.832,.520,11.0,12.4
2002,,New York,101.3,108.8,-7.5,.447,.448,.342,.376,.746,.244,.723,.488,14.1,13.8
2002,,Washington,100.5,103.9,-3.4,.446,.456,.310,.390,.787,.270,.776,.515,15.1,14.8
2002,,Sacramento,99.8,103.6,-3.8,.446,.462,.331,.343,.773,.234,.759,.496,13.8,13.0
2002,,Utah,97.2,93.3,+3.9,.452,.432,.363,.351,.748,.203,.806,.508,12.4,12.1
2002,,Dallas,97.1,102.4,-5.3,.423,.467,.316,.412,.816,.198,.816,.486,11.3,16.9
2002,,Memphis,97.1,102.1,-5.0,.413,.452,.333,.356,.756,.240,.791,.499,15.3,15.8
2002,,Detroit,96.8,97.2,-0.4,.432,.431,.326,.356,.759,.218,.780,.497,12.1,12.6
2002,,Philadelphia,96.5,107.1,-10.6,.430,.467,.348,.352,.716,.175,.798,.490,17.0,12.6
2002,,Miami,96.1,98.0,-1.9,.417,.411,.370,.327,.706,.235,.735,.484,13.4,12.9
2002,,Orlando,92.3,102.7,-10.4,.406,.463,.314,.340,.707,.243,.726,.475,11.9,11.0
2003,,Golden State,114.6,106.9,+7.7,.502,.440,.362,.332,.791,.218,.714,.483,15.7,14.6
2003,,Cleveland,110.6,103.1,+7.5,.438,.446,.371,.336,.788,.252,.744,.499,12.0,15.3
2003,,Indiana,109.4,112.8,-3.4,.472,.470,.378,.356,.772,.204,.754,.477,15.0,16.3
2003,,Atlanta,108.6,99.3,+9.3,.478,.430,.356,.322,.689,.281,.786,.539,17.6,17.0
2003,,Boston,108.6,109.5,-0.9,.468,.441,.378,.374,.734,.216,.694,.458,12.5,14.5
2003,,Portland,108.4,111.7,-3.3,.459,.447,.375,.313,.795,.168,.739,.462,14.7,12.6
2003,,Houston,107.9,106.8,+1.1,.473,.452,.373,.370,.745,.253,.747,.511,17.1,12.6
2003,,LA Lakers,107.8,106.6,+1.2,.467,.464,.325,.305,.814,.259,.760,.513,17.3,15.9
2003,,Phoenix,107.6,113.0,-5.4,.443,.453,.303,.354,.765,.234,.793,.508,15.6,15.3
2003,,Chicago,106.2,101.4,+4.8,.451,.460,.357,.374,.813,.306,.774,.539,13.4,12.9
2003,,Charlotte,105.9,98.8,+7.1,.437,.430,.346,.311,.769,.196,.811,.502,10.9,13.4
2003,,Minnesota,105.9,104.0,+1.9,.458,.469,.414,.337,.743,.294,.765,.521,13.9,15.4
2003,,LA,105.7,90.4,+15.3,.446,.400,.346,.342,.726,.216,.791,.507,11.0,16.3
2003,,Denver,105.1,108.0,-2.9,.429,.465,.352,.330,.774,.267,.805,.543,17.8,12.8
2003,,Brooklyn,104.4,108.0,-3.6,.442,.453,.317,.358,.806,.215,.760,.489,17.1,15.5
2003,,Toronto,103.8,98.3,+5.5,.459,.431,.287,.346,.805,.253,.748,.501,10.8,13.8
2003,,Milwaukee,103.6,102.8,+0.8,.455,.431,.325,.323,.812,.251,.757,.512,15.5,14.5
2003,,Oklahoma City,103.2,100.8,+2.4,.436,.435,.356,.311,.736,.262,.772,.526,16.8,14.6
2003,,New Orleans,101.6,107.7,-6.1,.434,.448,.286,.350,.756,.175,.780,.467,12.7,14.3
2003,,San Antonio,101.4,96.3,+5.1,.438,.445,.396,.322,.863,.229,.832,.520,11.0,12.4
2003,,New York,101.3,108.8,-7.5,.447,.448,.342,.376,.746,.244,.723,.488,14.1,13.8
2003,,Washington,100.5,103.9,-3.4,.446,.456,.310,.390,.787,.270,.776,.515,15.1,14.8
2003,,Sacramento,99.8,103.6,-3.8,.446,.462,.331,.343,.773,.234,.759,.496,13.8,13.0
2003,,Utah,97.2,93.3,+3.9,.452,.432,.363,.351,.748,.203,.806,.508,12.4,12.1
2003,,Dallas,97.1,102.4,-5.3,.423,.467,.316,.412,.816,.198,.816,.486,11.3,16.9
2003,,Memphis,97.1,102.1,-5.0,.413,.452,.333,.356,.756,.240,.791,.499,15.3,15.8
2003,,Detroit,96.8,97.2,-0.4,.432,.431,.326,.356,.759,.218,.780,.497,12.1,12.6
2003,,Philadelphia,96.5,107.1,-10.6,.430,.467,.348,.352,.716,.175,.798,.490,17.0,12.6
2003,,Miami,96.1,98.0,-1.9,.417,.411,.370,.327,.706,.235,.735,.484,13.4,12.9
2003,,Orlando,92.3,102.7,-10.4,.406,.463,.314,.340,.707,.243,.726,.475,11.9,11.0
2004,,Golden State,114.6,106.9,+7.7,.502,.440,.362,.332,.791,.218,.714,.483,15.7,14.6
2004,,Cleveland,110.6,103.1,+7.5,.438,.446,.371,.336,.788,.252,.744,.499,12.0,15.3
2004,,Indiana,109.4,112.8,-3.4,.472,.470,.378,.356,.772,.204,.754,.477,15.0,16.3
2004,,Atlanta,108.6,99.3,+9.3,.478,.430,.356,.322,.689,.281,.786,.539,17.6,17.0
2004,,Boston,108.6,109.5,-0.9,.468,.441,.378,.374,.734,.216,.694,.458,12.5,14.5
2004,,Portland,108.4,111.7,-3.3,.459,.447,.375,.313,.795,.168,.739,.462,14.7,12.6
2004,,Houston,107.9,106.8,+1.1,.473,.452,.373,.370,.745,.253,.747,.511,17.1,12.6
2004,,LA Lakers,107.8,106.6,+1.2,.467,.464,.325,.305,.814,.259,.760,.513,17.3,15.9
2004,,Phoenix,107.6,113.0,-5.4,.443,.453,.303,.354,.765,.234,.793,.508,15.6,15.3
2004,,Chicago,106.2,101.4,+4.8,.451,.460,.357,.374,.813,.306,.774,.539,13.4,12.9
2004,,Charlotte,105.9,98.8,+7.1,.437,.430,.346,.311,.769,.196,.811,.502,10.9,13.4
2004,,Minnesota,105.9,104.0,+1.9,.458,.469,.414,.337,.743,.294,.765,.521,13.9,15.4
2004,,LA,105.7,90.4,+15.3,.446,.400,.346,.342,.726,.216,.791,.507,11.0,16.3
2004,,Denver,105.1,108.0,-2.9,.429,.465,.352,.330,.774,.267,.805,.543,17.8,12.8
2004,,Brooklyn,104.4,108.0,-3.6,.442,.453,.317,.358,.806,.215,.760,.489,17.1,15.5
2004,,Toronto,103.8,98.3,+5.5,.459,.431,.287,.346,.805,.253,.748,.501,10.8,13.8
2004,,Milwaukee,103.6,102.8,+0.8,.455,.431,.325,.323,.812,.251,.757,.512,15.5,14.5
2004,,Oklahoma City,103.2,100.8,+2.4,.436,.435,.356,.311,.736,.262,.772,.526,16.8,14.6
2004,,New Orleans,101.6,107.7,-6.1,.434,.448,.286,.350,.756,.175,.780,.467,12.7,14.3
2004,,San Antonio,101.4,96.3,+5.1,.438,.445,.396,.322,.863,.229,.832,.520,11.0,12.4
2004,,New York,101.3,108.8,-7.5,.447,.448,.342,.376,.746,.244,.723,.488,14.1,13.8
2004,,Washington,100.5,103.9,-3.4,.446,.456,.310,.390,.787,.270,.776,.515,15.1,14.8
2004,,Sacramento,99.8,103.6,-3.8,.446,.462,.331,.343,.773,.234,.759,.496,13.8,13.0
2004,,Utah,97.2,93.3,+3.9,.452,.432,.363,.351,.748,.203,.806,.508,12.4,12.1
2004,,Dallas,97.1,102.4,-5.3,.423,.467,.316,.412,.816,.198,.816,.486,11.3,16.9
2004,,Memphis,97.1,102.1,-5.0,.413,.452,.333,.356,.756,.240,.791,.499,15.3,15.8
2004,,Detroit,96.8,97.2,-0.4,.432,.431,.326,.356,.759,.218,.780,.497,12.1,12.6
2004,,Philadelphia,96.5,107.1,-10.6,.430,.467,.348,.352,.716,.175,.798,.490,17.0,12.6
2004,,Miami,96.1,98.0,-1.9,.417,.411,.370,.327,.706,.235,.735,.484,13.4,12.9
2004,,Orlando,92.3,102.7,-10.4,.406,.463,.314,.340,.707,.243,.726,.475,11.9,11.0
2005,,Golden State,114.6,106.9,+7.7,.502,.440,.362,.332,.791,.218,.714,.483,15.7,14.6
2005,,Cleveland,110.6,103.1,+7.5,.438,.446,.371,.336,.788,.252,.744,.499,12.0,15.3
2005,,Indiana,109.4,112.8,-3.4,.472,.470,.378,.356,.772,.204,.754,.477,15.0,16.3
2005,,Atlanta,108.6,99.3,+9.3,.478,.430,.356,.322,.689,.281,.786,.539,17.6,17.0
2005,,Boston,108.6,109.5,-0.9,.468,.441,.378,.374,.734,.216,.694,.458,12.5,14.5
2005,,Portland,108.4,111.7,-3.3,.459,.447,.375,.313,.795,.168,.739,.462,14.7,12.6
2005,,Houston,107.9,106.8,+1.1,.473,.452,.373,.370,.745,.253,.747,.511,17.1,12.6
2005,,LA Lakers,107.8,106.6,+1.2,.467,.464,.325,.305,.814,.259,.760,.513,17.3,15.9
2005,,Phoenix,107.6,113.0,-5.4,.443,.453,.303,.354,.765,.234,.793,.508,15.6,15.3
2005,,Chicago,106.2,101.4,+4.8,.451,.460,.357,.374,.813,.306,.774,.539,13.4,12.9
2005,,Charlotte,105.9,98.8,+7.1,.437,.430,.346,.311,.769,.196,.811,.502,10.9,13.4
2005,,Minnesota,105.9,104.0,+1.9,.458,.469,.414,.337,.743,.294,.765,.521,13.9,15.4
2005,,LA,105.7,90.4,+15.3,.446,.400,.346,.342,.726,.216,.791,.507,11.0,16.3
2005,,Denver,105.1,108.0,-2.9,.429,.465,.352,.330,.774,.267,.805,.543,17.8,12.8
2005,,Brooklyn,104.4,108.0,-3.6,.442,.453,.317,.358,.806,.215,.760,.489,17.1,15.5
2005,,Toronto,103.8,98.3,+5.5,.459,.431,.287,.346,.805,.253,.748,.501,10.8,13.8
2005,,Milwaukee,103.6,102.8,+0.8,.455,.431,.325,.323,.812,.251,.757,.512,15.5,14.5
2005,,Oklahoma City,103.2,100.8,+2.4,.436,.435,.356,.311,.736,.262,.772,.526,16.8,14.6
2005,,New Orleans,101.6,107.7,-6.1,.434,.448,.286,.350,.756,.175,.780,.467,12.7,14.3
2005,,San Antonio,101.4,96.3,+5.1,.438,.445,.396,.322,.863,.229,.832,.520,11.0,12.4
2005,,New York,101.3,108.8,-7.5,.447,.448,.342,.376,.746,.244,.723,.488,14.1,13.8
2005,,Washington,100.5,103.9,-3.4,.446,.456,.310,.390,.787,.270,.776,.515,15.1,14.8
2005,,Sacramento,99.8,103.6,-3.8,.446,.462,.331,.343,.773,.234,.759,.496,13.8,13.0
2005,,Utah,97.2,93.3,+3.9,.452,.432,.363,.351,.748,.203,.806,.508,12.4,12.1
2005,,Dallas,97.1,102.4,-5.3,.423,.467,.316,.412,.816,.198,.816,.486,11.3,16.9
2005,,Memphis,97.1,102.1,-5.0,.413,.452,.333,.356,.756,.240,.791,.499,15.3,15.8
2005,,Detroit,96.8,97.2,-0.4,.432,.431,.326,.356,.759,.218,.780,.497,12.1,12.6
2005,,Philadelphia,96.5,107.1,-10.6,.430,.467,.348,.352,.716,.175,.798,.490,17.0,12.6
2005,,Miami,96.1,98.0,-1.9,.417,.411,.370,.327,.706,.235,.735,.484,13.4,12.9
2005,,Orlando,92.3,102.7,-10.4,.406,.463,.314,.340,.707,.243,.726,.475,11.9,11.0
2006,,Golden State,114.6,106.9,+7.7,.502,.440,.362,.332,.791,.218,.714,.483,15.7,14.6
2006,,Cleveland,110.6,103.1,+7.5,.438,.446,.371,.336,.788,.252,.744,.499,12.0,15.3
2006,,Indiana,109.4,112.8,-3.4,.472,.470,.378,.356,.772,.204,.754,.477,15.0,16.3
2006,,Atlanta,108.6,99.3,+9.3,.478,.430,.356,.322,.689,.281,.786,.539,17.6,17.0
2006,,Boston,108.6,109.5,-0.9,.468,.441,.378,.374,.734,.216,.694,.458,12.5,14.5
2006,,Portland,108.4,111.7,-3.3,.459,.447,.375,.313,.795,.168,.739,.462,14.7,12.6
2006,,Houston,107.9,106.8,+1.1,.473,.452,.373,.370,.745,.253,.747,.511,17.1,12.6
2006,,LA Lakers,107.8,106.6,+1.2,.467,.464,.325,.305,.814,.259,.760,.513,17.3,15.9
2006,,Phoenix,107.6,113.0,-5.4,.443,.453,.303,.354,.765,.234,.793,.508,15.6,15.3
2006,,Chicago,106.2,101.4,+4.8,.451,.460,.357,.374,.813,.306,.774,.539,13.4,12.9
2006,,Charlotte,105.9,98.8,+7.1,.437,.430,.346,.311,.769,.196,.811,.502,10.9,13.4
2006,,Minnesota,105.9,104.0,+1.9,.458,.469,.414,.337,.743,.294,.765,.521,13.9,15.4
2006,,LA,105.7,90.4,+15.3,.446,.400,.346,.342,.726,.216,.791,.507,11.0,16.3
2006,,Denver,105.1,108.0,-2.9,.429,.465,.352,.330,.774,.267,.805,.543,17.8,12.8
2006,,Brooklyn,104.4,108.0,-3.6,.442,.453,.317,.358,.806,.215,.760,.489,17.1,15.5
2006,,Toronto,103.8,98.3,+5.5,.459,.431,.287,.346,.805,.253,.748,.501,10.8,13.8
2006,,Milwaukee,103.6,102.8,+0.8,.455,.431,.325,.323,.812,.251,.757,.512,15.5,14.5
2006,,Oklahoma City,103.2,100.8,+2.4,.436,.435,.356,.311,.736,.262,.772,.526,16.8,14.6
2006,,New Orleans,101.6,107.7,-6.1,.434,.448,.286,.350,.756,.175,.780,.467,12.7,14.3
2006,,San Antonio,101.4,96.3,+5.1,.438,.445,.396,.322,.863,.229,.832,.520,11.0,12.4
2006,,New York,101.3,108.8,-7.5,.447,.448,.342,.376,.746,.244,.723,.488,14.1,13.8
2006,,Washington,100.5,103.9,-3.4,.446,.456,.310,.390,.787,.270,.776,.515,15.1,14.8
2006,,Sacramento,99.8,103.6,-3.8,.446,.462,.331,.343,.773,.234,.759,.496,13.8,13.0
2006,,Utah,97.2,93.3,+3.9,.452,.432,.363,.351,.748,.203,.806,.508,12.4,12.1
2006,,Dallas,97.1,102.4,-5.3,.423,.467,.316,.412,.816,.198,.816,.486,11.3,16.9
2006,,Memphis,97.1,102.1,-5.0,.413,.452,.333,.356,.756,.240,.791,.499,15.3,15.8
2006,,Detroit,96.8,97.2,-0.4,.432,.431,.326,.356,.759,.218,.780,.497,12.1,12.6
2006,,Philadelphia,96.5,107.1,-10.6,.430,.467,.348,.352,.716,.175,.798,.490,17.0,12.6
2006,,Miami,96.1,98.0,-1.9,.417,.411,.370,.327,.706,.235,.735,.484,13.4,12.9
2006,,Orlando,92.3,102.7,-10.4,.406,.463,.314,.340,.707,.243,.726,.475,11.9,11.0
2007,,Golden State,114.6,106.9,+7.7,.502,.440,.362,.332,.791,.218,.714,.483,15.7,14.6
2007,,Cleveland,110.6,103.1,+7.5,.438,.446,.371,.336,.788,.252,.744,.499,12.0,15.3
2007,,Indiana,109.4,112.8,-3.4,.472,.470,.378,.356,.772,.204,.754,.477,15.0,16.3
2007,,Atlanta,108.6,99.3,+9.3,.478,.430,.356,.322,.689,.281,.786,.539,17.6,17.0
2007,,Boston,108.6,109.5,-0.9,.468,.441,.378,.374,.734,.216,.694,.458,12.5,14.5
2007,,Portland,108.4,111.7,-3.3,.459,.447,.375,.313,.795,.168,.739,.462,14.7,12.6
2007,,Houston,107.9,106.8,+1.1,.473,.452,.373,.370,.745,.253,.747,.511,17.1,12.6
2007,,LA Lakers,107.8,106.6,+1.2,.467,.464,.325,.305,.814,.259,.760,.513,17.3,15.9
2007,,Phoenix,107.6,113.0,-5.4,.443,.453,.303,.354,.765,.234,.793,.508,15.6,15.3
2007,,Chicago,106.2,101.4,+4.8,.451,.460,.357,.374,.813,.306,.774,.539,13.4,12.9
2007,,Charlotte,105.9,98.8,+7.1,.437,.430,.346,.311,.769,.196,.811,.502,10.9,13.4
2007,,Minnesota,105.9,104.0,+1.9,.458,.469,.414,.337,.743,.294,.765,.521,13.9,15.4
2007,,LA,105.7,90.4,+15.3,.446,.400,.346,.342,.726,.216,.791,.507,11.0,16.3
2007,,Denver,105.1,108.0,-2.9,.429,.465,.352,.330,.774,.267,.805,.543,17.8,12.8
2007,,Brooklyn,104.4,108.0,-3.6,.442,.453,.317,.358,.806,.215,.760,.489,17.1,15.5
2007,,Toronto,103.8,98.3,+5.5,.459,.431,.287,.346,.805,.253,.748,.501,10.8,13.8
2007,,Milwaukee,103.6,102.8,+0.8,.455,.431,.325,.323,.812,.251,.757,.512,15.5,14.5
2007,,Oklahoma City,103.2,100.8,+2.4,.436,.435,.356,.311,.736,.262,.772,.526,16.8,14.6
2007,,New Orleans,101.6,107.7,-6.1,.434,.448,.286,.350,.756,.175,.780,.467,12.7,14.3
2007,,San Antonio,101.4,96.3,+5.1,.438,.445,.396,.322,.863,.229,.832,.520,11.0,12.4
2007,,New York,101.3,108.8,-7.5,.447,.448,.342,.376,.746,.244,.723,.488,14.1,13.8
2007,,Washington,100.5,103.9,-3.4,.446,.456,.310,.390,.787,.270,.776,.515,15.1,14.8
2007,,Sacramento,99.8,103.6,-3.8,.446,.462,.331,.343,.773,.234,.759,.496,13.8,13.0
2007,,Utah,97.2,93.3,+3.9,.452,.432,.363,.351,.748,.203,.806,.508,12.4,12.1
2007,,Dallas,97.1,102.4,-5.3,.423,.467,.316,.412,.816,.198,.816,.486,11.3,16.9
2007,,Memphis,97.1,102.1,-5.0,.413,.452,.333,.356,.756,.240,.791,.499,15.3,15.8
2007,,Detroit,96.8,97.2,-0.4,.432,.431,.326,.356,.759,.218,.780,.497,12.1,12.6
2007,,Philadelphia,96.5,107.1,-10.6,.430,.467,.348,.352,.716,.175,.798,.490,17.0,12.6
2007,,Miami,96.1,98.0,-1.9,.417,.411,.370,.327,.706,.235,.735,.484,13.4,12.9
2007,,Orlando,92.3,102.7,-10.4,.406,.463,.314,.340,.707,.243,.726,.475,11.9,11.0
2008,,Golden State,114.6,106.9,+7.7,.502,.440,.362,.332,.791,.218,.714,.483,15.7,14.6
2008,,Cleveland,110.6,103.1,+7.5,.438,.446,.371,.336,.788,.252,.744,.499,12.0,15.3
2008,,Indiana,109.4,112.8,-3.4,.472,.470,.378,.356,.772,.204,.754,.477,15.0,16.3
2008,,Atlanta,108.6,99.3,+9.3,.478,.430,.356,.322,.689,.281,.786,.539,17.6,17.0
2008,,Boston,108.6,109.5,-0.9,.468,.441,.378,.374,.734,.216,.694,.458,12.5,14.5
2008,,Portland,108.4,111.7,-3.3,.459,.447,.375,.313,.795,.168,.739,.462,14.7,12.6
2008,,Houston,107.9,106.8,+1.1,.473,.452,.373,.370,.745,.253,.747,.511,17.1,12.6
2008,,LA Lakers,107.8,106.6,+1.2,.467,.464,.325,.305,.814,.259,.760,.513,17.3,15.9
2008,,Phoenix,107.6,113.0,-5.4,.443,.453,.303,.354,.765,.234,.793,.508,15.6,15.3
2008,,Chicago,106.2,101.4,+4.8,.451,.460,.357,.374,.813,.306,.774,.539,13.4,12.9
2008,,Charlotte,105.9,98.8,+7.1,.437,.430,.346,.311,.769,.196,.811,.502,10.9,13.4
2008,,Minnesota,105.9,104.0,+1.9,.458,.469,.414,.337,.743,.294,.765,.521,13.9,15.4
2008,,LA,105.7,90.4,+15.3,.446,.400,.346,.342,.726,.216,.791,.507,11.0,16.3
2008,,Denver,105.1,108.0,-2.9,.429,.465,.352,.330,.774,.267,.805,.543,17.8,12.8
